Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Start Date,State,TBmaster,Time Bucket,Trgt Flg,Zip,% Reach,Avegarge Visit,ClickThrough Rate,count ID,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Email Open Rate,Fax,Frequncy,Geo Level Id,HCP Engaged Email,HCP Reached email,Opt out Rate,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
W 13 MILE RD EC 3601,GERMANTOWN,BRADFORD L WALTERS,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 5-6,BRADFORD L WALTERS@thunderbird.com,2/28/2021,U000101,NATION,US,2/18/2021,10018257,1001001,EXL,2/1/2021,TN,M10,M10,N,38138,1,1,1,1,2,2,2,4,0,0,2,5,0.5,"2,036,884,740",1,2,1,1,0,"8,407,331,430",81,1,0
W 13 MILE RD EC 3601,GERMANTOWN,BRADFORD L WALTERS,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 5-6,BRADFORD L WALTERS@thunderbird.com,12/20/2021,U000101,NATION,US,2/18/2021,10018257,1001001,EXL,1/1/2021,TN,YTD,YTD,N,38138,1,1,1,1,2,2,2,4,0,0,2,5,0.5,"2,036,884,740",1,2,1,1,0,"8,407,331,430",81,1,0
W 13 MILE RD EC 3601,GERMANTOWN,BRADFORD L WALTERS,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 5-6,BRADFORD L WALTERS@thunderbird.com,12/20/2021,U000101,NATION,US,2/18/2021,10018257,1001001,EXL,9/10/2020,TN,LTD,LTD,N,38138,1,1,1,1,2,2,2,4,0,0,2,5,0.5,"2,036,884,740",1,2,1,1,0,"8,407,331,430",81,1,0
THRIVE BEHAVIORAL HEALTH,OAKLAND PARK,THOMAS R BEST,SOUTH EAST,MIAMI,Decile 7-8,THOMAS R BEST@icould.com,12/31/2020,U000101,NATION,US,12/5/2020,10012267,1001001,EXL,12/1/2020,FL,M12,M12,N,33334,0,1,0,1,0,0,1,4,0,0,0,7,0.25,"2,693,420,919",1,2,0,1,0,"8,107,338,070",911,1,1
THRIVE BEHAVIORAL HEALTH,OAKLAND PARK,THOMAS R BEST,SOUTH EAST,MIAMI,Decile 7-8,THOMAS R BEST@icould.com,12/20/2021,U000101,NATION,US,12/5/2020,10012267,1001001,EXL,9/10/2020,FL,LTD,LTD,N,33334,0,1,0,1,0,0,1,4,0,0,0,7,0.25,"2,693,420,919",1,2,0,1,0,"8,107,338,070",911,1,1
OSCNER MEDICAL CENTER,OCOEE,TYE R ARNETT,SOUTH EAST,ORLANDO,Decile 3-4,TYE R ARNETT@icould.com,12/20/2021,U000101,NATION,US,12/16/2021,10010552,1001001,EXL,12/1/2021,FL,MTD,MTD,N,34761,1,1,0,1,2,0,1,2,0,0,2,4,0.5,"5,854,272,712",1,2,0,1,0,"9,007,336,110",666,1,0
OSCNER MEDICAL CENTER,OCOEE,TYE R ARNETT,SOUTH EAST,ORLANDO,Decile 3-4,TYE R ARNETT@icould.com,12/20/2021,U000101,NATION,US,12/16/2021,10010552,1001001,EXL,10/1/2021,FL,QTD,QTD,N,34761,1,1,0,1,2,0,1,2,0,0,2,4,0.5,"5,854,272,712",1,2,0,1,0,"9,007,336,110",666,1,0
OSCNER MEDICAL CENTER,OCOEE,TYE R ARNETT,SOUTH EAST,ORLANDO,Decile 3-4,TYE R ARNETT@icould.com,12/20/2021,U000101,NATION,US,12/16/2021,10010552,1001001,EXL,1/1/2021,FL,YTD,YTD,N,34761,1,1,0,1,2,0,1,2,0,0,2,4,0.5,"5,854,272,712",1,2,0,1,0,"9,007,336,110",666,1,0
OSCNER MEDICAL CENTER,OCOEE,TYE R ARNETT,SOUTH EAST,ORLANDO,Decile 3-4,TYE R ARNETT@icould.com,12/20/2021,U000101,NATION,US,12/16/2021,10010552,1001001,EXL,9/10/2020,FL,LTD,LTD,N,34761,1,1,0,1,2,0,1,2,0,0,2,4,0.5,"5,854,272,712",1,2,0,1,0,"9,007,336,110",666,1,0
N 2800 PLYMOUTH RD # 26-327,ANNA,JEREMY SCOTT VANEPPS,MIDWEST,SAINT LOUIS EAST,Decile 9-10,JEREMY SCOTT VANEPPS@yahoo.com,10/31/2021,U000101,NATION,US,10/26/2021,10011455,1001001,EXL,10/1/2021,IL,M2,M2,Y,62906,1,1,1,1,2,2,2,4,1,1,1,9,0.5,"6,154,676,692",1,2,1,1,0.5,"9,407,337,142",795,1,0
