Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Speciality,Start Date,State,Time Bucket,Time Bucket Master,Trgt Flg,Zip,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Fax,Geo Level Id,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
18101 LORAIN AVE,GAINESVILLE,TAHA  AHMED,SOUTH EAST,JACKSONVILLE,Decile 1-2,TAHA  AHMED@icould.com,12/20/2021,U000101,NATION,US,8/23/2021,10021020,1001001,EXL,Hospitals,9/10/2020,FL,LTD,LTD,N,32610,1,0,0,4,0,1,0,1,8107331817,2,8307330790,1,1,1
6777 W MAPLE RD,FLINT,JULES E CONSTANTINOU,GREAT LAKES,DETROIT NORTH,Decile 3-4,JULES E CONSTANTINOU@yahoo.com,12/20/2021,U000101,NATION,US,11/9/2021,10021027,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48507,2,0,2,2,0,0,2,4,2488982017,2,9407330798,2,0,0
2799 W GRAND BLVD,MADISON HEIGHTS,FORTUNE  OJEANOR,GREAT LAKES,DETROIT NORTH,Decile 3-4,FORTUNE  OJEANOR@GLOBAL.NET,12/20/2021,U000101,NATION,US,9/15/2021,10021034,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48071,0,0,0,0,0,0,0,4,3139168416,2,9407330806,3,0,0
11100 EUCLID AVE,ROYAL OAK,AMANDA MARIE KOVATS,GREAT LAKES,DETROIT NORTH,Decile 9-10,AMANDA MARIE KOVATS@gmail.com,12/20/2021,U000101,NATION,US,9/17/2021,10021041,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,Y,48073,0,1,2,4,1,0,0,9,3139161394,2,9007330814,4,1,0
4881 SUGAR MAPLE DR,ANN ARBOR,AVEN W FORD,GREAT LAKES,DETROIT SOUTH,Decile 1-2,AVEN W FORD@gmail.com,12/20/2021,U000101,NATION,US,9/11/2021,10021048,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,N,48109,1,0,0,0,0,1,0,2,2162866341,2,9007330822,5,0,0
1224 7TH AVE,SOUTHFIELD,KIRA CLOA MOYER,GREAT LAKES,DETROIT SOUTH,Decile 3-4,KIRA CLOA MOYER@gmail.com,12/20/2021,U000101,NATION,US,10/22/2020,10021055,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48075,0,0,1,1,0,0,0,3,2164457013,2,8307330830,6,0,0
2315 BEL AIR RD STE C1,WYANDOTTE,RACHEL ANN HOUCK,GREAT LAKES,DETROIT SOUTH,Decile 7-8,RACHEL ANN HOUCK@GLOBAL.NET,12/20/2021,U000101,NATION,US,8/7/2021,10021062,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48192,0,2,3,3,1,0,0,8,2167674339,2,8107330838,7,1,1
3601 W 13 MILE RD,EAST CLEVELAND,SUSAN LATSON BURKE,GREAT LAKES,CLEVELAND,Decile 9-10,SUSAN LATSON BURKE@yahoo.com,12/20/2021,U000101,NATION,US,9/25/2021,10021069,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,Y,44112,1,0,3,4,0,0,1,10,6143662360,2,8307330846,8,1,0
36123 SCHOOLCRAFT RD,GARFIELD HEIGHTS,DAWN ELIZABETH PANGRAZZI,GREAT LAKES,CLEVELAND,Decile 5-6,DAWN ELIZABETH PANGRAZZI@gmail.com,12/20/2021,U000101,NATION,US,10/26/2020,10021076,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,44125,3,0,0,0,0,1,2,6,6143667004,2,7807330854,9,0,0
2497 STATE ROUTE 59,INDEPENDENCE,REBECCA ANN CHABEK,GREAT LAKES,CLEVELAND,Decile 1-2,REBECCA ANN CHABEK@GLOBAL.NET,12/20/2021,U000101,NATION,US,4/9/2021,10021083,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,44131,0,0,2,2,0,0,0,2,6142933565,2,8407330862,10,0,0
