Customer Id,First Name,Last Name,Gender,Region,State,Age,Email Id,Month Name,Month,Plan price,Plan Category,Services,Customer Type,Serving site,Day,Date`,State date,Customer type,Number
S0001,Laurette,Smullen,Male,South,Andhra Pradesh,19,lsmullen0@wired.com,Jan,1/16/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,4,16,16-Jan,Andhra Pradesh16-Jan,Retain,9033992213
S0002,Clarisse,McAloren,Male,South,Andhra Pradesh,21,cmcaloren1@weather.com,Jan,1/20/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,6,20,20-Jan,Andhra Pradesh20-Jan,Retain,9033992217
S0003,Selig,Pinchback,Female,South,Andhra Pradesh,46,spinchback2@cafepress.com,Jan,1/13/2021,149,Voice Only,"text,voice",Postpaid,2,13,13-Jan,Andhra Pradesh13-Jan,Retain,9033992245
S0004,Darci,Giveen,Female,South,Andhra Pradesh,19,dgiveen3@buzzfeed.com,Jan,1/21/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,8,21,21-Jan,Andhra Pradesh21-Jan,Retain,9033992269
S0005,Georgie,Blaxley,Female,South,Andhra Pradesh,36,gblaxley4@blogtalkradio.com,Jan,1/24/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,7,24,24-Jan,Andhra Pradesh24-Jan,Retain,9033992277
S0006,Symon,Kettell,Male,South,Andhra Pradesh,20,skettell5@cyberchimps.com,Jan,1/14/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,5,14,14-Jan,Andhra Pradesh14-Jan,Retain,9033992281
S0007,Hanny,Lazar,Female,South,Andhra Pradesh,28,hlazar6@over-blog.com,Jan,1/16/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,4,16,16-Jan,Andhra Pradesh16-Jan,Retain,9033992289
S0008,Isa,Domican,Male,South,Andhra Pradesh,25,idomican7@princeton.edu,Jan,1/23/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,6,23,23-Jan,Andhra Pradesh23-Jan,Retain,9033992305
S0009,Hersch,Chesley,Female,South,Andhra Pradesh,38,hchesley8@chicagotribune.com,Jan,1/19/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,2,19,19-Jan,Andhra Pradesh19-Jan,Retain,9033992317
S0010,Benny,Whitmore,Female,South,Andhra Pradesh,23,bwhitmore9@sphinn.com,Jan,1/23/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,5,23,23-Jan,Andhra Pradesh23-Jan,Retain,9033992329
S0011,Ethelind,De la Harpe,Female,South,Andhra Pradesh,21,edelaharpea@spotify.com,Jan,1/19/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,5,19,19-Jan,Andhra Pradesh19-Jan,Retain,9033992333
S0012,Kitty,Jenkins,Female,South,Andhra Pradesh,35,kjenkinsb@last.fm,Jan,1/16/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,2,16,16-Jan,Andhra Pradesh16-Jan,Retain,9033992341
S0013,Dom,Duberry,Female,South,Andhra Pradesh,33,dduberryc@ibm.com,Jan,1/14/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,4,14,14-Jan,Andhra Pradesh14-Jan,Retain,9033992373
S0014,Rosalia,Salamon,Female,South,Andhra Pradesh,36,rsalamond@ihg.com,Jan,1/9/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,2,9,9-Jan,Andhra Pradesh9-Jan,Retain,9033992381
