Customer Id,Name-Mont,Month date,Join date,Last date,Complain,Hour,First Name,Last Name,email id,Number,Name-com,Services,gender,Month,Final,State,Region,Monthcount,Connection type,Plan,Plan Category,Capacity,Data Utilization1,Data Uti Cat,Upgradation Type,Data Usage,Data Utilization,Week,Response time sec,Wait time s,Call Time sec,Complain Type,Final detail,Ticket ID,Status,joining duration,Complain and date duration,closer date,day,SLA Category,Technical Knowledge,Resolution Provide,Call take time,Final Score,Reason
S0001,S0001-10,13-Oct-21,16-Jan-21,,17-Oct-21,17,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Oct,Retain,Andhra Pradesh,South,10,Prepaid,199,Till 1.5 GB,45,91.11,> 90,Plan 299 3 GB+1 OTT,41,> 90%,Week-42,142,> 60,268,Data Speed Issue,FCR,T3-3012,Close,,,17-Oct-21,0,Within SLA,4,5,2,4,
S0001,S0001-11,12-Nov-21,16-Jan-21,,13-Nov-21,18,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Nov,Retain,Andhra Pradesh,South,11,Prepaid,199,Till 1.5 GB,45,55.56,50-60,Plan 299 3 GB+1 OTT,25,< 90 %,Week-46,76,> 60,283,Weak indoor Coverage,FCR,T3-3013,Close,,,13-Nov-21,0,Within SLA,3,4,0,2,
S0001,S0001-12,12-Dec-21,16-Jan-21,,13-Dec-21,12,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Dec,Retain,Andhra Pradesh,South,12,Prepaid,199,Till 1.5 GB,45,82.22,81-90,Plan 249 3 GB,37,< 90 %,Week-51,53,50-60,139,Msg related,FCR,T3-3016,Close,,,13-Dec-21,0,Within SLA,4,5,2,4,
S0001,S0001-12,12-Dec-21,16-Jan-21,,16-Dec-21,16,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Dec,Retain,Andhra Pradesh,South,12,Prepaid,199,Till 1.5 GB,45,82.22,81-90,Plan 249 3 GB,37,< 90 %,Week-51,53,50-60,597,Data Speed Issue,FCR,T3-3015,Close,,,16-Dec-21,0,Within SLA,3,4,2,3,
S0001,S0001-12,12-Dec-21,16-Jan-21,,19-Dec-21,18,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Dec,Retain,Andhra Pradesh,South,12,Prepaid,199,Till 1.5 GB,45,82.22,81-90,Plan 249 3 GB,37,< 90 %,Week-51,53,50-60,308,Call Quality,FCR,T3-3014,Close,,,19-Dec-21,0,Within SLA,0,4,2,2,
S0001,S0001-2,15-Feb-21,16-Jan-21,,19-Feb-21,6,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Feb,Retain,Andhra Pradesh,South,2,Prepaid,199,Till 1.5 GB,45,88.89,81-90,Plan 249 3 GB,40,< 90 %,Week-8,57,50-60,513,Call Quality,FCR,T3-3017,Close,,,19-Feb-21,0,Within SLA,5,4,2,4,
S0001,S0001-2,15-Feb-21,16-Jan-21,,22-Feb-21,19,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Feb,Retain,Andhra Pradesh,South,2,Prepaid,199,Till 1.5 GB,45,88.89,81-90,Plan 249 3 GB,40,< 90 %,Week-8,57,50-60,879,NW Fluctuation,FCR,T3-3018,Close,,,22-Feb-21,0,Within SLA,4,5,2,4,
S0001,S0001-3,17-Mar-21,16-Jan-21,,18-Mar-21,6,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Mar,Retain,Andhra Pradesh,South,3,Prepaid,199,Till 1.5 GB,45,73.33,61-80,Plan 299 3 GB+1 OTT,33,< 90 %,Week-12,70,> 60,727,Data Speed Issue,FCR,T3-3019,Close,,,18-Mar-21,0,Within SLA,2,5,1,3,
S0001,S0001-5,16-May-21,16-Jan-21,,17-May-21,20,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,May,Retain,Andhra Pradesh,South,5,Prepaid,199,Till 1.5 GB,45,86.67,81-90,Plan 249 3 GB,39,< 90 %,Week-21,96,> 60,314,Internet Not Working/Mobile setting,FCR,T3-3022,Close,,,17-May-21,0,Within SLA,4,5,0,3,
S0001,S0001-5,16-May-21,16-Jan-21,,20-May-21,21,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,May,Retain,Andhra Pradesh,South,5,Prepaid,199,Till 1.5 GB,45,86.67,81-90,Plan 249 3 GB,39,< 90 %,Week-21,96,> 60,298,Data Speed Issue,FCR,T3-3021,Close,,,20-May-21,0,Within SLA,3,5,2,3,
S0001,S0001-5,16-May-21,16-Jan-21,,23-May-21,18,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,May,Retain,Andhra Pradesh,South,5,Prepaid,199,Till 1.5 GB,45,86.67,81-90,Plan 249 3 GB,39,< 90 %,Week-21,96,> 60,664,Call Quality,FCR,T3-3020,Close,,,23-May-21,0,Within SLA,5,5,2,4,
S0001,S0001-7,15-Jul-21,16-Jan-21,,16-Jul-21,23,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Jul,Retain,Andhra Pradesh,South,7,Prepaid,199,Till 1.5 GB,45,80,61-80,Plan 299 3 GB+1 OTT,36,< 90 %,Week-29,67,> 60,304,Internet Not Working/Mobile setting,FCR,T3-3023,Close,,,16-Jul-21,0,Within SLA,0,4,2,2,
S0001,S0001-8,14-Aug-21,16-Jan-21,,18-Aug-21,9,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Aug,Retain,Andhra Pradesh,South,8,Prepaid,199,Till 1.5 GB,45,91.11,> 90,Plan 299 3 GB+1 OTT,41,> 90%,Week-33,99,> 60,266,Data Speed Issue,FCR,T3-3024,Close,,,18-Aug-21,0,Within SLA,5,5,0,3,
S0001,S0001-9,13-Sep-21,16-Jan-21,,14-Sep-21,10,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Sep,Retain,Andhra Pradesh,South,9,Prepaid,199,Till 1.5 GB,45,62.22,61-80,Plan 299 3 GB+1 OTT,28,< 90 %,Week-38,132,> 60,557,NW Fluctuation,FCR,T3-3026,Close,,,14-Sep-21,0,Within SLA,2,5,3,3,
S0001,S0001-9,13-Sep-21,16-Jan-21,,17-Sep-21,17,Laurette,Smullen,lsmullen0@wired.com,9033992213,Laurette-Smullen,"Voice,Data",Male,Sep,Retain,Andhra Pradesh,South,9,Prepaid,199,Till 1.5 GB,45,62.22,61-80,Plan 299 3 GB+1 OTT,28,< 90 %,Week-38,132,> 60,171,Data Speed Issue,FCR,T3-3025,Close,,,17-Sep-21,0,Within SLA,4,4,1,3,
S0002,S0002-10,17-Oct-21,19-Feb-21,,18-Oct-21,6,Clarisse,McAloren,cmcaloren1@weather.com,9033992217,Clarisse-McAloren,"Voice,Data",Male,Oct,Retain,Andhra Pradesh,South,10,Prepaid,199,Till 1.5 GB,45,77.78,61-80,Plan 299 3 GB+1 OTT,35,< 90 %,Week-43,90,> 60,401,Coverage Issue,FCR,T3-3027,Close,,,18-Oct-21,0,Within SLA,5,4,2,4,
